category,prestation,type,value
,retraits_hors_agence,personnel,vkvhs35x
,,professionnel,9sshij8e
,,entreprise,kvr9p3fy
,payment_cheque_en_agence,personnel,fafa5bfi
,,professionnel,5ij57qrl
,,entreprise,qyxjhng5
,payment_cheque_hors_agence,personnel,f9h7rkio
,,professionnel,lsskuyoa
,,entreprise,6vnrywi2
,vente_devise,personnel,4f078kso
,,professionnel,w7aw62l2
,,entreprise,9ayj7w1r
,achat_devise,personnel,o8q6a76e
,,professionnel,gknxur6f
,,entreprise,76kis0wi
moyens_de_payment,creation_bank_card,personnel,benc02rk
,,professionnel,hc2ifggl
,,entreprise,55a98lj4
,renouvelement_bank_card,personnel,ldx4aouo
,,professionnel,lthg2e09
,,entreprise,gc6i1yld
,remplacement_bank_card,personnel,zbdnk2tz
,,professionnel,eypbuk8e
,,entreprise,qb4c0ckd
,edition_code_confidentiel_bank_card,personnel,i1sak1vs
,,professionnel,rx4j5ggv
,,entreprise,ehofhtcg
,retrait_intra_bancaire,personnel,hrsp0gza
,,professionnel,w83ao6ud
,,entreprise,6kbkn887
,retrait_inter_bancaire,personnel,93k9pu5y
,,professionnel,b8k1pbia
,,entreprise,rjz639p9
,creation_visa,personnel,gffbi1zt
,,professionnel,gl9w3xbh
,,entreprise,jjfo81tl
,renouvelement_visa,personnel,815xim6a
,,professionnel,fk7jbxqe
,,entreprise,doorngrt
,remplacement_visa,personnel,2wjeuzbq
,,professionnel,hdkuf8ge
,,entreprise,0d7civ2v
,edition_code_confidentiel_visa,personnel,hf1ksdwe
,,professionnel,yfqdtibc
,,entreprise,xoycfj93
prets_et_credits,decouvert_duree,personnel,3c3uewva
,,professionnel,jbelruss
,,entreprise,4k0a0evj
,decouvert_taux,personnel,85jmbx8m
,,professionnel,0wgbnmku
,,entreprise,gv22wmf3
,credit_court_terme_taux,personnel,77fywvb8
,,professionnel,fnki6bml
,,entreprise,vmygsagq
,credit_moyen_terme_taux,personnel,4j873yi6
,,professionnel,slcbrebw
,,entreprise,6spvtva4
,credit_long_terme_taux,personnel,bb1s5r0k
,,professionnel,7jx93o11
,,entreprise,iitvgeqh
,options_possibles,personnel,xhiqongh
,,professionnel,pqdn30ox
,,entreprise,mtpce0hm
placement,depots_a_court_terme,personnel,d7yxew5k
,,professionnel,7lfn1ut3
,,entreprise,ozbq1vyz
,depots_a_moyen_terme,personnel,4ve4spgg
,,professionnel,am8ytm0k
,,entreprise,7k1m8djj
,depots_a_long_terme,personnel,xa7oamlh
,,professionnel,xy4jmbed
,,entreprise,a4cb6ukn
epargne,epargne_duree_taux_01,personnel,nzymd3pk
,,professionnel,v2nbutj5
,,entreprise,qfl81782
,epargne_duree_taux_02,personnel,mvaygg5r
,,professionnel,9i55kx8s
,,entreprise,75fsueb0
,epargne_duree_taux_03,personnel,z8d9jgyj
,,professionnel,t59ikevl
,,entreprise,pa3f9s3b
,epargne_duree_taux_04,personnel,w0wv2qsm
,,professionnel,k8mng1pz
,,entreprise,4amv6wjm
,epargne_duree_taux_05,personnel,s135volf
,,professionnel,y7dzye32
,,entreprise,ey5sih9t
,epargne_duree_taux_06,personnel,84vjb5dy
,,professionnel,hcd2iu1t
,,entreprise,q0cw0at0
,epargne_duree_taux_07,personnel,f928yb99
,,professionnel,e9objfzi
,,entreprise,45c7k9t6
,epargne_duree_taux_08,personnel,zisexr8c
,,professionnel,4ymhfozo
,,entreprise,t5e8neuz
,epargne_duree_taux_09,personnel,uriy5x2n
,,professionnel,vogtbv54
,,entreprise,9z02cv8q
,epargne_duree_taux_10,personnel,qyoa0wm4
,,professionnel,ywao3utv
,,entreprise,s3rn1q2o
coffre_fort,petit,personnel,6lq3i38z
,,professionnel,osnivrf7
,,entreprise,j6istauc
,moyen,personnel,7k2gvv16
,,professionnel,3ms7px2r
,,entreprise,9x2jxd7t
,grand,personnel,arszedne
,,professionnel,fift5k30
,,entreprise,yazcschr
,cautionnement,personnel,mvmzixn2
,,professionnel,666dgbbf
,,entreprise,mo02wl2s
financement_externe,encaissement_cheque_etranger,personnel,o9jam59q
,,professionnel,fjp0yvbl
,,entreprise,er4fxane
,virement_recu,personnel,oj1vg711
,,professionnel,mggrp8fs
,,entreprise,g7jna23i
,virement_emis,personnel,v46i4dhs
,,professionnel,ztetjv47
,,entreprise,af1awgpb
,exportation_domiciliation,personnel,jp1eblka
,,professionnel,own3c9wy
,,entreprise,lkyij6w7
,importation_domiciliation,personnel,ls9u0f6u
,,professionnel,9fqwwn72
,,entreprise,trxyebk7
,transfert_libre_prelevement_compte_dinars,personnel,sa4o62vr
,,professionnel,drj5v77t
,,entreprise,khpgko2b
,transfert_libre_prelevement_compte_devise,personnel,c5a9sy9r
,,professionnel,su8n0gzn
,,entreprise,jpkjii4r
